epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.4375, Constr acc: 0.3125, CE loss: 5.630, DL2 loss: 56.485
[30] Train acc: 0.7656, Constr acc: 0.8125, CE loss: 1.055, DL2 loss: 15.274
[45] Train acc: 0.8750, Constr acc: 0.9062, CE loss: 0.797, DL2 loss: 7.519
[60] Train acc: 0.9219, Constr acc: 0.8125, CE loss: 0.260, DL2 loss: 16.237
[75] Train acc: 0.8750, Constr acc: 0.8125, CE loss: 0.667, DL2 loss: 16.243
[90] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.707, DL2 loss: 12.413
[105] Train acc: 0.9375, Constr acc: 0.7812, CE loss: 0.336, DL2 loss: 12.195
[120] Train acc: 0.8438, Constr acc: 0.8438, CE loss: 0.566, DL2 loss: 8.157
[135] Train acc: 0.8281, Constr acc: 0.8438, CE loss: 1.108, DL2 loss: 7.496
[150] Train acc: 0.8750, Constr acc: 0.7500, CE loss: 0.634, DL2 loss: 23.474
[165] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.262, DL2 loss: 8.381
[180] Train acc: 0.8125, Constr acc: 0.8750, CE loss: 1.001, DL2 loss: 6.129
[195] Train acc: 0.8594, Constr acc: 0.7812, CE loss: 0.798, DL2 loss: 16.634
[210] Train acc: 0.8750, Constr acc: 0.7500, CE loss: 0.390, DL2 loss: 17.893
[225] Train acc: 0.6719, Constr acc: 0.8438, CE loss: 2.204, DL2 loss: 12.781
[240] Train acc: 0.8438, Constr acc: 0.8125, CE loss: 1.152, DL2 loss: 16.876
[255] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.406, DL2 loss: 9.133
[270] Train acc: 0.7969, Constr acc: 0.9375, CE loss: 1.065, DL2 loss: 4.945
[285] Train acc: 0.8750, Constr acc: 0.6875, CE loss: 0.435, DL2 loss: 25.250
[300] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.586, DL2 loss: 12.533
[315] Train acc: 0.8281, Constr acc: 0.9062, CE loss: 0.522, DL2 loss: 10.405
[330] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.257, DL2 loss: 12.646
[345] Train acc: 0.8125, Constr acc: 0.8438, CE loss: 0.702, DL2 loss: 8.108
[360] Train acc: 0.6562, Constr acc: 0.8438, CE loss: 2.271, DL2 loss: 9.211
[375] Train acc: 0.8125, Constr acc: 0.9688, CE loss: 0.931, DL2 loss: 4.306
[390] Train acc: 0.8906, Constr acc: 0.8750, CE loss: 0.320, DL2 loss: 6.574
[405] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.486, DL2 loss: 8.039
[420] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.268, DL2 loss: 9.334
[435] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.345, DL2 loss: 7.421
[450] Train acc: 0.8438, Constr acc: 0.7812, CE loss: 0.786, DL2 loss: 14.049
[465] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.645, DL2 loss: 14.375
[480] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.432, DL2 loss: 14.760
[495] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.352, DL2 loss: 9.449
[510] Train acc: 0.9062, Constr acc: 0.8125, CE loss: 0.249, DL2 loss: 15.655
[525] Train acc: 0.8594, Constr acc: 0.9062, CE loss: 0.325, DL2 loss: 8.665
[540] Train acc: 0.9062, Constr acc: 0.9375, CE loss: 0.416, DL2 loss: 7.049
[555] Train acc: 0.8594, Constr acc: 0.7812, CE loss: 0.601, DL2 loss: 17.446
[570] Train acc: 0.8594, Constr acc: 0.9375, CE loss: 0.704, DL2 loss: 7.154
[585] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.290, DL2 loss: 3.167
[600] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.105, DL2 loss: 11.959
[615] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.219, DL2 loss: 9.841
[630] Train acc: 0.8438, Constr acc: 0.8750, CE loss: 1.242, DL2 loss: 9.642
[645] Train acc: 0.9688, Constr acc: 0.7188, CE loss: 0.451, DL2 loss: 19.186
[660] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.014, DL2 loss: 7.254
[675] Train acc: 0.9375, Constr acc: 0.7500, CE loss: 0.131, DL2 loss: 20.265
[690] Train acc: 0.8750, Constr acc: 0.9062, CE loss: 0.508, DL2 loss: 9.504
[705] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.230, DL2 loss: 8.250
[720] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.055, DL2 loss: 7.161
[735] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.181, DL2 loss: 10.220
[750] Train acc: 0.8750, Constr acc: 0.9062, CE loss: 0.712, DL2 loss: 5.937
[765] Train acc: 0.8906, Constr acc: 0.9375, CE loss: 0.617, DL2 loss: 2.290
[780] Train acc: 0.9062, Constr acc: 0.9375, CE loss: 0.398, DL2 loss: 6.577
[795] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.396, DL2 loss: 6.516
[810] Train acc: 0.9062, Constr acc: 0.9688, CE loss: 0.288, DL2 loss: 2.084
[825] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.055, DL2 loss: 14.389
[840] Train acc: 0.9062, Constr acc: 0.9688, CE loss: 0.293, DL2 loss: 3.459
