epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.034, DL2 loss: 4.399
[30] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.326, DL2 loss: 3.472
[45] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.179, DL2 loss: 3.681
[60] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.040, DL2 loss: 3.084
[75] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.148, DL2 loss: 2.716
[90] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.022, DL2 loss: 3.372
[105] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.006, DL2 loss: 4.286
[120] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.013, DL2 loss: 1.174
[135] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.001, DL2 loss: 0.355
[150] Train acc: 0.9531, Constr acc: 0.6875, CE loss: 0.192, DL2 loss: 8.819
[165] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.087, DL2 loss: 4.618
[180] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.012, DL2 loss: 0.686
[195] Train acc: 0.9062, Constr acc: 0.7188, CE loss: 0.254, DL2 loss: 11.091
[210] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.044, DL2 loss: 4.577
[225] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.089, DL2 loss: 3.600
[240] Train acc: 0.8750, Constr acc: 0.8125, CE loss: 0.922, DL2 loss: 5.587
[255] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.074, DL2 loss: 2.638
[270] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.056, DL2 loss: 7.684
[285] Train acc: 0.9688, Constr acc: 0.7500, CE loss: 0.092, DL2 loss: 8.023
[300] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.190, DL2 loss: 5.161
[315] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.116, DL2 loss: 3.036
[330] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.085, DL2 loss: 1.776
[345] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.140, DL2 loss: 1.246
[360] Train acc: 0.9062, Constr acc: 0.7812, CE loss: 0.249, DL2 loss: 4.531
[375] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.175, DL2 loss: 3.841
[390] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.157, DL2 loss: 2.875
[405] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.093, DL2 loss: 3.154
[420] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.112, DL2 loss: 0.274
[435] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.160, DL2 loss: 0.762
[450] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.224, DL2 loss: 6.379
[465] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.008, DL2 loss: 6.987
[480] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.187, DL2 loss: 4.913
[495] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.056, DL2 loss: 0.728
[510] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.027, DL2 loss: 3.970
[525] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.173, DL2 loss: 1.824
[540] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.017, DL2 loss: 6.045
[555] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.177, DL2 loss: 4.563
[570] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.060, DL2 loss: 3.504
[585] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.062, DL2 loss: 3.738
[600] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.088, DL2 loss: 2.546
[615] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.019, DL2 loss: 2.361
[630] Train acc: 0.9062, Constr acc: 0.8125, CE loss: 0.443, DL2 loss: 9.967
[645] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.113, DL2 loss: 3.056
[660] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.312, DL2 loss: 4.417
[675] Train acc: 0.9688, Constr acc: 0.7500, CE loss: 0.153, DL2 loss: 11.211
[690] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.094, DL2 loss: 3.004
[705] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.022, DL2 loss: 2.676
[720] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.056, DL2 loss: 1.333
[735] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.222, DL2 loss: 5.785
[750] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.066, DL2 loss: 1.187
[765] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.067, DL2 loss: 0.509
[780] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.016, DL2 loss: 0.505
[795] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.039, DL2 loss: 2.401
[810] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.109, DL2 loss: 0.743
[825] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.056, DL2 loss: 2.820
[840] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.243, DL2 loss: 1.678
[855] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.017, DL2 loss: 6.960
[870] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.118, DL2 loss: 0.344
[885] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.062, DL2 loss: 10.130
[900] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.024, DL2 loss: 1.915
[915] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.090, DL2 loss: 5.072
[930] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.244, DL2 loss: 1.852
[0] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.006, DL2 loss: 6.134
[15] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.047, DL2 loss: 2.119
[30] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.058, DL2 loss: 4.034
