epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.3750, Constr acc: 0.3438, CE loss: 8.515, DL2 loss: 51.234
[30] Train acc: 0.7188, Constr acc: 0.7812, CE loss: 1.864, DL2 loss: 20.548
[45] Train acc: 0.8125, Constr acc: 0.7812, CE loss: 0.948, DL2 loss: 17.389
[60] Train acc: 0.8906, Constr acc: 0.8750, CE loss: 0.403, DL2 loss: 14.041
[75] Train acc: 0.8750, Constr acc: 0.9062, CE loss: 0.650, DL2 loss: 9.879
[90] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.364, DL2 loss: 17.144
[105] Train acc: 0.5781, Constr acc: 0.7812, CE loss: 3.147, DL2 loss: 18.981
[120] Train acc: 0.8438, Constr acc: 0.8125, CE loss: 0.951, DL2 loss: 11.741
[135] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.557, DL2 loss: 3.995
[150] Train acc: 0.8125, Constr acc: 0.6875, CE loss: 1.404, DL2 loss: 28.629
[165] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.556, DL2 loss: 17.962
[180] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.363, DL2 loss: 8.586
[195] Train acc: 0.7344, Constr acc: 0.7500, CE loss: 2.045, DL2 loss: 21.993
[210] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.163, DL2 loss: 12.737
[225] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.699, DL2 loss: 18.671
[240] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.706, DL2 loss: 11.438
[255] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.104, DL2 loss: 6.174
[270] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.530, DL2 loss: 18.412
[285] Train acc: 0.8750, Constr acc: 0.7812, CE loss: 0.859, DL2 loss: 23.528
[300] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.486, DL2 loss: 7.256
[315] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.592, DL2 loss: 8.857
[330] Train acc: 0.9062, Constr acc: 0.8438, CE loss: 0.527, DL2 loss: 14.901
[345] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.801, DL2 loss: 10.503
[360] Train acc: 0.8125, Constr acc: 0.8438, CE loss: 1.079, DL2 loss: 11.701
[375] Train acc: 0.8281, Constr acc: 0.9688, CE loss: 0.783, DL2 loss: 5.575
[390] Train acc: 0.7812, Constr acc: 0.8438, CE loss: 1.673, DL2 loss: 10.871
[405] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.333, DL2 loss: 12.073
[420] Train acc: 0.8594, Constr acc: 0.9062, CE loss: 0.539, DL2 loss: 9.565
