epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.220, DL2 loss: 5.349
[30] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.095, DL2 loss: 5.100
[45] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.065, DL2 loss: 4.731
[60] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.010, DL2 loss: 11.489
[75] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.032, DL2 loss: 4.043
[90] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.011, DL2 loss: 5.754
[105] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.027, DL2 loss: 11.936
[120] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.037, DL2 loss: 1.902
[135] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.003, DL2 loss: 2.267
[150] Train acc: 1.0000, Constr acc: 0.7500, CE loss: 0.011, DL2 loss: 17.440
[165] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.014, DL2 loss: 7.041
[180] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.107, DL2 loss: 2.626
[195] Train acc: 0.9844, Constr acc: 0.7188, CE loss: 0.098, DL2 loss: 13.680
[210] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.015, DL2 loss: 6.062
[225] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.031, DL2 loss: 7.253
[240] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.134, DL2 loss: 4.422
[255] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.012, DL2 loss: 5.353
[270] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.043, DL2 loss: 8.851
[285] Train acc: 0.9375, Constr acc: 0.6875, CE loss: 0.108, DL2 loss: 17.792
[300] Train acc: 0.9844, Constr acc: 0.8125, CE loss: 0.056, DL2 loss: 6.254
[315] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.276, DL2 loss: 6.801
[330] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.089, DL2 loss: 6.577
[345] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.126, DL2 loss: 5.010
[360] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.077, DL2 loss: 5.532
[375] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.122, DL2 loss: 3.801
[390] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.091, DL2 loss: 7.007
[405] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.052, DL2 loss: 5.122
[420] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.080, DL2 loss: 3.235
[435] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.162, DL2 loss: 3.813
[450] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.041, DL2 loss: 10.364
[465] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.010, DL2 loss: 9.959
[480] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.104, DL2 loss: 7.956
[495] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.041, DL2 loss: 1.593
[510] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.043, DL2 loss: 9.031
[525] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.081, DL2 loss: 3.279
[540] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.014, DL2 loss: 5.481
[555] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.176, DL2 loss: 9.845
[570] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.061, DL2 loss: 3.701
[585] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.026, DL2 loss: 4.120
[600] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.036, DL2 loss: 7.647
[615] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.036, DL2 loss: 5.725
[630] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.173, DL2 loss: 5.107
[645] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.112, DL2 loss: 10.259
[660] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.022, DL2 loss: 4.783
[675] Train acc: 0.9844, Constr acc: 0.7500, CE loss: 0.051, DL2 loss: 16.848
[690] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.033, DL2 loss: 6.107
[705] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.037, DL2 loss: 3.907
[720] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.047, DL2 loss: 3.647
[735] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.141, DL2 loss: 7.222
[750] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.019, DL2 loss: 3.689
[765] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.016, DL2 loss: 0.620
[780] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.051, DL2 loss: 0.279
[795] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.023, DL2 loss: 5.674
[810] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.101, DL2 loss: 5.676
[825] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.189, DL2 loss: 7.117
[840] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.057, DL2 loss: 2.252
[855] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.034, DL2 loss: 10.859
[870] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.030, DL2 loss: 1.166
[885] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.053, DL2 loss: 11.179
[900] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.130, DL2 loss: 6.406
[915] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.113, DL2 loss: 8.290
[930] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.210, DL2 loss: 3.232
[0] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.035, DL2 loss: 7.397
[15] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.081, DL2 loss: 3.045
[30] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.022, DL2 loss: 6.852
[45] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.133, DL2 loss: 11.085
[60] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.228, DL2 loss: 8.109
[75] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.012, DL2 loss: 10.867
[90] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.121, DL2 loss: 5.318
[105] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.107, DL2 loss: 2.130
[120] Train acc: 0.9219, Constr acc: 1.0000, CE loss: 0.159, DL2 loss: 0.000
[135] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.037, DL2 loss: 6.434
[150] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.117, DL2 loss: 5.480
[165] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.044, DL2 loss: 7.707
[180] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.074, DL2 loss: 2.833
[195] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.130, DL2 loss: 4.030
[210] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.061, DL2 loss: 12.364
[225] Train acc: 0.9844, Constr acc: 1.0000, CE loss: 0.059, DL2 loss: 0.000
[240] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.169, DL2 loss: 5.515
[255] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.072, DL2 loss: 9.710
[270] Train acc: 0.9375, Constr acc: 0.9688, CE loss: 0.313, DL2 loss: 2.022
[285] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.047, DL2 loss: 3.635
[300] Train acc: 0.9375, Constr acc: 0.9688, CE loss: 0.174, DL2 loss: 0.934
[315] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.379, DL2 loss: 4.560
[330] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.029, DL2 loss: 0.862
[345] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.134, DL2 loss: 5.525
[360] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.339, DL2 loss: 6.305
[375] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.033, DL2 loss: 2.125
[390] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.116, DL2 loss: 6.486
[405] Train acc: 0.9688, Constr acc: 0.9688, CE loss: 0.041, DL2 loss: 2.349
[420] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.017, DL2 loss: 6.418
[435] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.191, DL2 loss: 4.688
[450] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.086, DL2 loss: 5.254
[465] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.189, DL2 loss: 4.607
[480] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.042, DL2 loss: 6.675
[495] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.028, DL2 loss: 6.375
[510] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.076, DL2 loss: 1.335
[525] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.033, DL2 loss: 1.523
[540] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.123, DL2 loss: 7.799
[555] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.128, DL2 loss: 4.361
[570] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.037, DL2 loss: 3.335
[585] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.021, DL2 loss: 5.144
[600] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.125, DL2 loss: 5.569
[615] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.172, DL2 loss: 4.277
[630] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.127, DL2 loss: 7.260
[645] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.098, DL2 loss: 6.113
[660] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.107, DL2 loss: 10.286
[675] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.061, DL2 loss: 4.257
[690] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.107, DL2 loss: 7.318
[705] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.331, DL2 loss: 2.934
[720] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.062, DL2 loss: 7.725
[735] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.061, DL2 loss: 6.469
[750] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.181, DL2 loss: 3.220
[765] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.058, DL2 loss: 11.690
[780] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.047, DL2 loss: 3.231
[795] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.017, DL2 loss: 10.904
[810] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.100, DL2 loss: 0.000
[825] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.072, DL2 loss: 5.167
[840] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.022, DL2 loss: 3.686
[855] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.090, DL2 loss: 11.030
[870] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.071, DL2 loss: 8.190
[885] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.166, DL2 loss: 7.420
[900] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.089, DL2 loss: 1.478
[915] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.105, DL2 loss: 8.429
[930] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.057, DL2 loss: 3.437
[0] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.097, DL2 loss: 11.431
[15] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.106, DL2 loss: 11.284
[30] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.018, DL2 loss: 12.819
[45] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.166, DL2 loss: 4.877
[60] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.053, DL2 loss: 3.580
[75] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.071, DL2 loss: 0.000
[90] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.063, DL2 loss: 8.307
[105] Train acc: 1.0000, Constr acc: 0.8750, CE loss: 0.042, DL2 loss: 7.852
[120] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.117, DL2 loss: 3.613
[135] Train acc: 1.0000, Constr acc: 0.8438, CE loss: 0.035, DL2 loss: 6.443
[150] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.122, DL2 loss: 2.889
[165] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.184, DL2 loss: 3.827
[180] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.103, DL2 loss: 6.189
[195] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.138, DL2 loss: 2.887
[210] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.110, DL2 loss: 7.634
[225] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.161, DL2 loss: 5.070
[240] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.071, DL2 loss: 7.170
[255] Train acc: 0.9375, Constr acc: 0.9688, CE loss: 0.139, DL2 loss: 1.654
[270] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.175, DL2 loss: 5.930
[285] Train acc: 0.9688, Constr acc: 0.8438, CE loss: 0.121, DL2 loss: 7.547
[300] Train acc: 0.9844, Constr acc: 0.9688, CE loss: 0.044, DL2 loss: 2.390
[315] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.130, DL2 loss: 12.335
[330] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.123, DL2 loss: 7.360
[345] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.015, DL2 loss: 3.336
[360] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.066, DL2 loss: 2.736
[375] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.067, DL2 loss: 2.471
[390] Train acc: 0.9688, Constr acc: 1.0000, CE loss: 0.078, DL2 loss: 0.000
[405] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.028, DL2 loss: 10.154
[420] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.098, DL2 loss: 4.981
[435] Train acc: 1.0000, Constr acc: 0.9688, CE loss: 0.023, DL2 loss: 2.321
[450] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.141, DL2 loss: 3.800
[465] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.102, DL2 loss: 7.501
[480] Train acc: 0.8906, Constr acc: 0.8750, CE loss: 0.235, DL2 loss: 6.175
[495] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.052, DL2 loss: 9.206
[510] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.077, DL2 loss: 8.830
[525] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.243, DL2 loss: 5.857
[540] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.083, DL2 loss: 9.334
[555] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.168, DL2 loss: 7.127
[570] Train acc: 1.0000, Constr acc: 0.9375, CE loss: 0.021, DL2 loss: 3.868
[585] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.044, DL2 loss: 8.709
[600] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.146, DL2 loss: 12.276
[615] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.079, DL2 loss: 8.598
[630] Train acc: 1.0000, Constr acc: 0.8125, CE loss: 0.040, DL2 loss: 11.194
[645] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.047, DL2 loss: 7.527
[660] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.117, DL2 loss: 14.257
[675] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.228, DL2 loss: 3.116
[690] Train acc: 1.0000, Constr acc: 1.0000, CE loss: 0.018, DL2 loss: 0.000
[705] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.057, DL2 loss: 2.113
[720] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.151, DL2 loss: 8.422
[735] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.288, DL2 loss: 6.619
[750] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.084, DL2 loss: 4.992
[765] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.055, DL2 loss: 5.485
[780] Train acc: 0.9062, Constr acc: 0.9688, CE loss: 0.249, DL2 loss: 2.134
[795] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.133, DL2 loss: 6.370
[810] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.068, DL2 loss: 7.182
[825] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.224, DL2 loss: 3.028
[840] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.210, DL2 loss: 4.664
[855] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.370, DL2 loss: 6.682
[870] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.189, DL2 loss: 10.184
[885] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.120, DL2 loss: 9.090
[900] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.019, DL2 loss: 6.634
[915] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.129, DL2 loss: 3.792
[930] Train acc: 0.8906, Constr acc: 0.8750, CE loss: 0.270, DL2 loss: 6.502
[0] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.085, DL2 loss: 3.281
[15] Train acc: 0.8281, Constr acc: 0.9062, CE loss: 0.369, DL2 loss: 4.555
[30] Train acc: 0.9844, Constr acc: 0.8750, CE loss: 0.034, DL2 loss: 2.997
[45] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.102, DL2 loss: 5.263
[60] Train acc: 0.9375, Constr acc: 0.7188, CE loss: 0.118, DL2 loss: 12.274
[75] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.108, DL2 loss: 6.069
[90] Train acc: 0.9062, Constr acc: 0.8438, CE loss: 0.294, DL2 loss: 8.265
[105] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.113, DL2 loss: 3.702
[120] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.149, DL2 loss: 4.075
[135] Train acc: 0.8906, Constr acc: 0.8125, CE loss: 0.340, DL2 loss: 6.879
[150] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.124, DL2 loss: 10.160
[165] Train acc: 0.9531, Constr acc: 1.0000, CE loss: 0.173, DL2 loss: 0.000
[180] Train acc: 0.9531, Constr acc: 0.9375, CE loss: 0.128, DL2 loss: 3.882
[195] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.178, DL2 loss: 4.671
[210] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.110, DL2 loss: 7.639
[225] Train acc: 0.9844, Constr acc: 0.9062, CE loss: 0.072, DL2 loss: 4.345
[240] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.315, DL2 loss: 5.007
[255] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.124, DL2 loss: 8.285
[270] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.194, DL2 loss: 7.023
[285] Train acc: 0.9062, Constr acc: 0.7500, CE loss: 0.176, DL2 loss: 12.909
[300] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.259, DL2 loss: 2.983
[315] Train acc: 0.9062, Constr acc: 0.7812, CE loss: 0.246, DL2 loss: 9.903
[330] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.588, DL2 loss: 3.462
[345] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.209, DL2 loss: 4.818
[360] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.127, DL2 loss: 7.283
[375] Train acc: 0.9844, Constr acc: 0.7500, CE loss: 0.078, DL2 loss: 12.292
[390] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.087, DL2 loss: 10.497
[405] Train acc: 0.9844, Constr acc: 0.8438, CE loss: 0.081, DL2 loss: 8.044
[420] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.155, DL2 loss: 9.040
[435] Train acc: 0.8750, Constr acc: 0.8750, CE loss: 0.329, DL2 loss: 3.923
[450] Train acc: 0.8906, Constr acc: 0.7188, CE loss: 0.371, DL2 loss: 10.406
[465] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.202, DL2 loss: 3.590
[480] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.377, DL2 loss: 11.007
[495] Train acc: 0.9844, Constr acc: 0.7812, CE loss: 0.076, DL2 loss: 11.003
[510] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.242, DL2 loss: 3.115
[525] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.209, DL2 loss: 5.203
[540] Train acc: 0.8750, Constr acc: 0.6875, CE loss: 0.406, DL2 loss: 10.668
[555] Train acc: 0.9062, Constr acc: 0.9375, CE loss: 0.221, DL2 loss: 4.399
[570] Train acc: 0.8906, Constr acc: 0.9375, CE loss: 0.326, DL2 loss: 1.637
[585] Train acc: 0.8438, Constr acc: 0.8438, CE loss: 0.553, DL2 loss: 5.525
[600] Train acc: 0.8438, Constr acc: 0.7500, CE loss: 0.477, DL2 loss: 13.165
[615] Train acc: 0.8906, Constr acc: 0.6562, CE loss: 0.362, DL2 loss: 17.688
[630] Train acc: 0.8906, Constr acc: 0.8750, CE loss: 0.377, DL2 loss: 4.640
[645] Train acc: 0.7656, Constr acc: 0.7500, CE loss: 0.812, DL2 loss: 10.015
[660] Train acc: 0.8281, Constr acc: 0.8125, CE loss: 0.636, DL2 loss: 9.696
[675] Train acc: 0.7656, Constr acc: 0.8438, CE loss: 0.979, DL2 loss: 8.209
[690] Train acc: 0.7188, Constr acc: 0.8125, CE loss: 0.668, DL2 loss: 10.145
[705] Train acc: 0.7812, Constr acc: 0.7500, CE loss: 0.830, DL2 loss: 11.236
[720] Train acc: 0.7500, Constr acc: 0.7188, CE loss: 0.917, DL2 loss: 8.553
[735] Train acc: 0.5938, Constr acc: 0.4688, CE loss: 1.919, DL2 loss: 23.252
[750] Train acc: 0.6562, Constr acc: 0.7500, CE loss: 0.990, DL2 loss: 8.165
[765] Train acc: 0.4688, Constr acc: 0.6250, CE loss: 1.557, DL2 loss: 14.329
[780] Train acc: 0.6875, Constr acc: 0.6875, CE loss: 1.181, DL2 loss: 10.103
[795] Train acc: 0.4688, Constr acc: 0.7500, CE loss: 1.662, DL2 loss: 6.993
[810] Train acc: 0.4844, Constr acc: 0.5000, CE loss: 1.889, DL2 loss: 19.930
[825] Train acc: 0.3281, Constr acc: 0.7188, CE loss: 1.837, DL2 loss: 13.394
[840] Train acc: 0.2656, Constr acc: 0.5000, CE loss: 1.800, DL2 loss: 24.121
[855] Train acc: 0.2344, Constr acc: 0.5312, CE loss: 2.330, DL2 loss: 21.114
[870] Train acc: 0.2969, Constr acc: 0.2500, CE loss: 2.116, DL2 loss: 42.269
[885] Train acc: 0.1250, Constr acc: 0.0000, CE loss: 2.319, DL2 loss: 66.696
[900] Train acc: 0.0938, Constr acc: 0.0000, CE loss: 2.306, DL2 loss: 68.665
[915] Train acc: 0.1250, Constr acc: 0.0000, CE loss: 2.307, DL2 loss: 71.998
[930] Train acc: 0.1250, Constr acc: 0.0000, CE loss: 2.321, DL2 loss: 67.815
