epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.3594, Constr acc: 0.0625, CE loss: 3.879, DL2 loss: 85.012
[30] Train acc: 0.5469, Constr acc: 0.8125, CE loss: 5.356, DL2 loss: 12.606
[45] Train acc: 0.4688, Constr acc: 0.5312, CE loss: 5.438, DL2 loss: 38.337
[60] Train acc: 0.8281, Constr acc: 0.7500, CE loss: 1.846, DL2 loss: 24.006
[75] Train acc: 0.7656, Constr acc: 0.8438, CE loss: 1.036, DL2 loss: 8.043
[90] Train acc: 0.8594, Constr acc: 0.7812, CE loss: 1.185, DL2 loss: 14.008
[105] Train acc: 0.8125, Constr acc: 0.7500, CE loss: 2.033, DL2 loss: 23.882
[120] Train acc: 0.7656, Constr acc: 0.8125, CE loss: 1.373, DL2 loss: 11.942
[135] Train acc: 0.8281, Constr acc: 0.8750, CE loss: 0.632, DL2 loss: 5.714
[150] Train acc: 0.7188, Constr acc: 0.6875, CE loss: 1.699, DL2 loss: 29.465
[165] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.484, DL2 loss: 17.628
[180] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.346, DL2 loss: 3.382
[195] Train acc: 0.7500, Constr acc: 0.7188, CE loss: 2.303, DL2 loss: 31.304
[210] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.157, DL2 loss: 12.001
[225] Train acc: 0.8594, Constr acc: 0.8125, CE loss: 1.266, DL2 loss: 20.641
[240] Train acc: 0.9219, Constr acc: 0.8125, CE loss: 0.432, DL2 loss: 16.080
[255] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.274, DL2 loss: 6.801
[270] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.208, DL2 loss: 20.131
[285] Train acc: 0.9062, Constr acc: 0.6875, CE loss: 0.426, DL2 loss: 28.317
[300] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.647, DL2 loss: 16.959
[315] Train acc: 0.8594, Constr acc: 0.9062, CE loss: 0.499, DL2 loss: 8.949
[330] Train acc: 0.8906, Constr acc: 0.8125, CE loss: 0.525, DL2 loss: 19.438
[345] Train acc: 0.9062, Constr acc: 0.8438, CE loss: 0.867, DL2 loss: 11.911
[360] Train acc: 0.9375, Constr acc: 0.8750, CE loss: 0.744, DL2 loss: 10.243
[375] Train acc: 0.8438, Constr acc: 0.9375, CE loss: 1.063, DL2 loss: 6.189
[390] Train acc: 0.7812, Constr acc: 0.8125, CE loss: 2.577, DL2 loss: 21.599
[405] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.400, DL2 loss: 8.605
[420] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.379, DL2 loss: 11.070
[435] Train acc: 0.8438, Constr acc: 0.7812, CE loss: 1.116, DL2 loss: 18.009
[450] Train acc: 0.8594, Constr acc: 0.7188, CE loss: 1.407, DL2 loss: 23.545
[465] Train acc: 0.8594, Constr acc: 0.8125, CE loss: 0.980, DL2 loss: 22.462
[480] Train acc: 0.7812, Constr acc: 0.8750, CE loss: 1.078, DL2 loss: 15.033
[495] Train acc: 0.8906, Constr acc: 0.8750, CE loss: 1.634, DL2 loss: 10.643
[510] Train acc: 0.7812, Constr acc: 0.7812, CE loss: 1.309, DL2 loss: 19.618
[525] Train acc: 0.8594, Constr acc: 0.8438, CE loss: 0.849, DL2 loss: 20.175
[540] Train acc: 0.7969, Constr acc: 0.9062, CE loss: 2.027, DL2 loss: 14.047
[555] Train acc: 0.8438, Constr acc: 0.8750, CE loss: 0.831, DL2 loss: 10.379
