epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[45] Train acc: 0.8906, Constr acc: 0.7500, CE loss: 0.858, DL2 loss: 11.745
[60] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 0.733, DL2 loss: 5.956
[75] Train acc: 0.8906, Constr acc: 0.7812, CE loss: 0.640, DL2 loss: 9.108
[90] Train acc: 0.8438, Constr acc: 0.8125, CE loss: 0.493, DL2 loss: 7.220
[105] Train acc: 0.8594, Constr acc: 0.9062, CE loss: 0.367, DL2 loss: 1.566
[120] Train acc: 0.8906, Constr acc: 0.9688, CE loss: 0.651, DL2 loss: 0.129
[135] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.534, DL2 loss: 4.599
[150] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.292, DL2 loss: 8.439
[165] Train acc: 0.8906, Constr acc: 0.8438, CE loss: 0.495, DL2 loss: 7.583
[180] Train acc: 0.9062, Constr acc: 0.8438, CE loss: 0.337, DL2 loss: 4.577
[195] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.455, DL2 loss: 6.366
[210] Train acc: 0.9531, Constr acc: 0.7812, CE loss: 0.131, DL2 loss: 11.735
[225] Train acc: 0.9531, Constr acc: 1.0000, CE loss: 0.094, DL2 loss: 0.000
[240] Train acc: 0.8281, Constr acc: 0.8750, CE loss: 0.677, DL2 loss: 3.775
[255] Train acc: 0.8438, Constr acc: 0.8125, CE loss: 0.693, DL2 loss: 10.409
[270] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.320, DL2 loss: 2.215
[285] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.415, DL2 loss: 1.841
[300] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.351, DL2 loss: 3.548
[315] Train acc: 0.9375, Constr acc: 0.9062, CE loss: 0.190, DL2 loss: 6.343
[330] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.261, DL2 loss: 1.539
[345] Train acc: 0.8281, Constr acc: 0.7500, CE loss: 0.604, DL2 loss: 14.359
[360] Train acc: 0.8906, Constr acc: 0.7812, CE loss: 0.742, DL2 loss: 10.453
[375] Train acc: 0.8906, Constr acc: 0.9688, CE loss: 0.472, DL2 loss: 1.080
[390] Train acc: 0.8906, Constr acc: 0.9062, CE loss: 0.372, DL2 loss: 4.980
[405] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.222, DL2 loss: 2.353
[420] Train acc: 0.9375, Constr acc: 0.8438, CE loss: 0.449, DL2 loss: 7.924
[435] Train acc: 0.8281, Constr acc: 0.8438, CE loss: 0.722, DL2 loss: 6.517
[450] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 0.931, DL2 loss: 6.315
[465] Train acc: 0.8125, Constr acc: 0.9375, CE loss: 1.138, DL2 loss: 2.257
[480] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.765, DL2 loss: 6.719
[495] Train acc: 0.9219, Constr acc: 0.8750, CE loss: 0.174, DL2 loss: 6.146
