epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0049, 0.0010, 100.000, 100.000, 0.736, 0.781, 
7, 251, 0.2429, 0.0002, 95.312, 100.000, 0.954, 0.670, 
7, 250, 0.1705, 0.0003, 93.750, 100.000, 0.944, 0.681, 
7, 249, 0.0576, 0.0002, 98.438, 100.000, 0.963, 0.680, 
7, 248, 0.1676, 0.0044, 98.438, 98.438, 0.176, 0.955, 
7, 247, 1.0344, 0.0005, 84.375, 95.312, 0.843, 0.719, 
7, 246, 0.3809, 0.0003, 92.188, 100.000, 0.920, 0.667, 
7, 245, 0.6366, 0.0005, 92.188, 100.000, 0.891, 0.732, 
7, 244, 1.1824, 0.0004, 81.250, 100.000, 0.881, 0.684, 
7, 243, 1.1619, 0.0006, 81.250, 98.438, 0.815, 0.705, 
7, 242, 0.1467, 0.0003, 95.312, 100.000, 0.937, 0.655, 
7, 241, 0.1013, 0.0003, 98.438, 100.000, 0.944, 0.667, 
7, 240, 0.1903, 0.0002, 93.750, 100.000, 0.952, 0.655, 
7, 239, 0.4480, 0.0003, 89.062, 100.000, 0.916, 0.668, 
7, 238, 0.0478, 0.0002, 98.438, 100.000, 0.943, 0.657, 
7, 237, 0.1538, 0.0002, 93.750, 100.000, 0.937, 0.660, 
7, 236, 0.2688, 0.0002, 93.750, 98.438, 0.963, 0.659, 
7, 235, 0.1709, 0.0002, 95.312, 100.000, 0.954, 0.674, 
7, 234, 0.0928, 0.0002, 98.438, 100.000, 0.959, 0.669, 
7, 233, 0.5340, 0.0003, 89.062, 100.000, 0.932, 0.684, 
7, 232, 0.3769, 0.0003, 95.312, 100.000, 0.922, 0.672, 
7, 231, 0.0415, 0.0002, 98.438, 100.000, 0.953, 0.663, 
7, 230, 0.5776, 0.0006, 90.625, 98.438, 0.782, 0.691, 
7, 229, 0.8290, 0.0002, 84.375, 98.438, 0.946, 0.666, 
7, 228, 0.0807, 0.0002, 95.312, 100.000, 0.956, 0.652, 
7, 227, 0.3338, 0.0001, 92.188, 100.000, 0.964, 0.659, 
7, 226, 0.2356, 0.0003, 93.750, 100.000, 0.914, 0.663, 
7, 225, 0.3743, 0.0002, 95.312, 98.438, 0.946, 0.650, 
7, 224, 0.1760, 0.0002, 95.312, 100.000, 0.960, 0.665, 
7, 223, 0.1067, 0.0003, 98.438, 100.000, 0.890, 0.679, 
7, 222, 0.1244, 0.0002, 96.875, 100.000, 0.967, 0.665, 
7, 221, 0.0287, 0.0002, 98.438, 100.000, 0.953, 0.659, 
7, 220, 0.3787, 0.0002, 93.750, 98.438, 0.944, 0.667, 
7, 219, 0.1106, 0.0002, 96.875, 100.000, 0.970, 0.657, 
7, 218, 0.1393, 0.0003, 96.875, 100.000, 0.921, 0.659, 
7, 217, 0.1518, 0.0002, 92.188, 100.000, 0.959, 0.654, 
7, 216, 0.0264, 0.0002, 98.438, 100.000, 0.948, 0.650, 
7, 215, 0.7033, 0.0002, 85.938, 100.000, 0.956, 0.668, 
7, 214, 0.1477, 0.0003, 96.875, 100.000, 0.924, 0.673, 
7, 213, 0.1206, 0.0002, 95.312, 100.000, 0.953, 0.664, 
7, 212, 0.1382, 0.0002, 96.875, 100.000, 0.943, 0.660, 
7, 211, 0.0303, 0.0002, 98.438, 100.000, 0.960, 0.653, 
7, 210, 0.4469, 0.0002, 89.062, 100.000, 0.952, 0.650, 
7, 209, 0.4182, 0.0003, 90.625, 100.000, 0.921, 0.651, 
7, 208, 0.0027, 0.0002, 100.000, 100.000, 0.951, 0.661, 
7, 207, 0.1883, 0.0002, 96.875, 100.000, 0.961, 0.647, 
7, 206, 0.0759, 0.0002, 96.875, 100.000, 0.960, 0.646, 
7, 205, 0.0259, 0.0002, 98.438, 100.000, 0.959, 0.651, 
7, 204, 0.0947, 0.0002, 98.438, 100.000, 0.958, 0.656, 
7, 203, 0.1068, 0.0002, 96.875, 100.000, 0.968, 0.644, 
7, 202, 0.0219, 0.0001, 98.438, 100.000, 0.969, 0.655, 
7, 201, 0.7258, 0.0004, 81.250, 100.000, 0.897, 0.664, 
7, 200, 0.2449, 0.0002, 92.188, 100.000, 0.952, 0.664, 
7, 199, 0.4275, 0.0002, 92.188, 100.000, 0.924, 0.658, 
7, 198, 0.2445, 0.0002, 93.750, 100.000, 0.959, 0.668, 
7, 197, 0.2034, 0.0002, 95.312, 100.000, 0.947, 0.671, 
7, 196, 0.1054, 0.0001, 98.438, 100.000, 0.964, 0.651, 
7, 195, 0.1322, 0.0002, 95.312, 100.000, 0.959, 0.654, 
7, 194, 0.2168, 0.0002, 93.750, 100.000, 0.955, 0.652, 
7, 193, 0.1862, 0.0001, 95.312, 100.000, 0.967, 0.639, 
7, 192, 0.3734, 0.0002, 96.875, 98.438, 0.965, 0.648, 
7, 191, 0.2844, 0.0002, 89.062, 100.000, 0.961, 0.650, 
7, 190, 0.3580, 0.0001, 93.750, 98.438, 0.965, 0.656, 
8, 190, 0.0468, 0.0002, 98.438, 100.000, 0.925, 0.647, 
8, 189, 0.3146, 0.0003, 92.188, 98.438, 0.909, 0.656, 
8, 188, 0.0432, 0.0002, 98.438, 100.000, 0.962, 0.646, 
8, 187, 0.1912, 0.0002, 98.438, 98.438, 0.949, 0.659, 
8, 186, 0.3956, 0.0001, 93.750, 100.000, 0.967, 0.644, 
8, 185, 0.0161, 0.0001, 100.000, 100.000, 0.966, 0.645, 
8, 184, 0.1263, 0.0001, 96.875, 100.000, 0.964, 0.643, 
8, 183, 0.0591, 0.0002, 98.438, 100.000, 0.962, 0.645, 
8, 182, 0.0620, 0.0001, 98.438, 100.000, 0.970, 0.651, 
8, 181, 0.0154, 0.0001, 98.438, 100.000, 0.968, 0.646, 
8, 180, 0.3020, 0.0002, 93.750, 100.000, 0.958, 0.647, 
8, 179, 0.1438, 0.0002, 95.312, 100.000, 0.963, 0.649, 
8, 178, 0.1207, 0.0001, 96.875, 100.000, 0.964, 0.636, 
8, 177, 0.1499, 0.0001, 98.438, 100.000, 0.967, 0.639, 
8, 176, 0.0912, 0.0001, 98.438, 100.000, 0.970, 0.632, 
8, 175, 0.3420, 0.0001, 89.062, 100.000, 0.965, 0.655, 
8, 174, 1.0643, 0.0003, 82.812, 100.000, 0.916, 0.666, 
8, 173, 0.3894, 0.0003, 92.188, 100.000, 0.921, 0.657, 
8, 172, 0.2994, 0.0001, 95.312, 100.000, 0.970, 0.649, 
8, 171, 0.1496, 0.0001, 98.438, 100.000, 0.974, 0.647, 
8, 170, 0.0403, 0.0001, 98.438, 100.000, 0.967, 0.658, 
8, 169, 0.1892, 0.0001, 95.312, 100.000, 0.971, 0.653, 
8, 168, 0.0160, 0.0001, 100.000, 100.000, 0.970, 0.653, 
8, 167, 0.1926, 0.0001, 95.312, 100.000, 0.966, 0.647, 
8, 166, 0.3700, 0.0002, 95.312, 100.000, 0.956, 0.645, 
8, 165, 0.1732, 0.0001, 93.750, 100.000, 0.968, 0.661, 
8, 164, 0.1959, 0.0001, 95.312, 100.000, 0.964, 0.642, 
8, 163, 0.1231, 0.0001, 98.438, 100.000, 0.970, 0.654, 
8, 162, 0.1078, 0.0001, 95.312, 100.000, 0.976, 0.662, 
8, 161, 0.1670, 0.0001, 96.875, 100.000, 0.969, 0.648, 
8, 160, 0.5625, 0.0002, 92.188, 100.000, 0.941, 0.653, 
