epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.5625, Constr acc: 0.4375, CE loss: 2.378, DL2 loss: 27.317
[30] Train acc: 0.8281, Constr acc: 0.8750, CE loss: 0.780, DL2 loss: 7.477
[45] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.426, DL2 loss: 5.697
[60] Train acc: 0.8750, Constr acc: 0.8125, CE loss: 1.034, DL2 loss: 14.827
[75] Train acc: 0.9219, Constr acc: 0.7812, CE loss: 0.437, DL2 loss: 17.406
[90] Train acc: 0.9062, Constr acc: 0.8438, CE loss: 0.373, DL2 loss: 13.887
[105] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.106, DL2 loss: 11.756
[120] Train acc: 0.9062, Constr acc: 0.8438, CE loss: 0.551, DL2 loss: 6.907
[135] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.560, DL2 loss: 0.128
[150] Train acc: 0.8750, Constr acc: 0.7812, CE loss: 0.312, DL2 loss: 22.101
[165] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.123, DL2 loss: 11.429
[180] Train acc: 0.9375, Constr acc: 0.9688, CE loss: 0.323, DL2 loss: 1.656
[195] Train acc: 0.8438, Constr acc: 0.7500, CE loss: 0.981, DL2 loss: 19.303
[210] Train acc: 0.9688, Constr acc: 0.8750, CE loss: 0.125, DL2 loss: 8.431
[225] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.258, DL2 loss: 9.526
[240] Train acc: 0.9062, Constr acc: 0.8125, CE loss: 0.965, DL2 loss: 13.662
[255] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.083, DL2 loss: 4.264
[270] Train acc: 0.7500, Constr acc: 0.8125, CE loss: 4.285, DL2 loss: 17.984
[285] Train acc: 0.8594, Constr acc: 0.6875, CE loss: 1.100, DL2 loss: 17.061
[300] Train acc: 0.9531, Constr acc: 0.8438, CE loss: 0.422, DL2 loss: 8.225
[315] Train acc: 0.8906, Constr acc: 0.9375, CE loss: 1.277, DL2 loss: 4.354
[330] Train acc: 0.9219, Constr acc: 0.9062, CE loss: 0.540, DL2 loss: 5.323
[345] Train acc: 0.9062, Constr acc: 0.8125, CE loss: 0.713, DL2 loss: 6.013
[360] Train acc: 0.8750, Constr acc: 0.9062, CE loss: 0.388, DL2 loss: 8.834
[375] Train acc: 0.9219, Constr acc: 0.9688, CE loss: 0.469, DL2 loss: 4.933
[390] Train acc: 0.9531, Constr acc: 0.8750, CE loss: 0.155, DL2 loss: 7.275
[405] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.353, DL2 loss: 5.788
[420] Train acc: 0.9531, Constr acc: 0.9062, CE loss: 0.107, DL2 loss: 1.655
[435] Train acc: 0.8906, Constr acc: 0.9375, CE loss: 0.457, DL2 loss: 2.041
[450] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 1.030, DL2 loss: 9.877
[465] Train acc: 0.9531, Constr acc: 0.8125, CE loss: 0.152, DL2 loss: 18.401
[480] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.477, DL2 loss: 10.716
[495] Train acc: 0.9375, Constr acc: 0.9375, CE loss: 0.236, DL2 loss: 4.057
[510] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.221, DL2 loss: 10.583
[525] Train acc: 0.8906, Constr acc: 0.9688, CE loss: 0.566, DL2 loss: 2.340
[540] Train acc: 0.9219, Constr acc: 0.9375, CE loss: 0.507, DL2 loss: 3.900
[555] Train acc: 0.9375, Constr acc: 0.8125, CE loss: 0.332, DL2 loss: 10.218
[570] Train acc: 0.9844, Constr acc: 0.9375, CE loss: 0.046, DL2 loss: 7.224
[585] Train acc: 0.9688, Constr acc: 0.9375, CE loss: 0.034, DL2 loss: 3.070
[600] Train acc: 0.9688, Constr acc: 0.8125, CE loss: 0.191, DL2 loss: 8.360
[615] Train acc: 0.9688, Constr acc: 0.9062, CE loss: 0.195, DL2 loss: 6.898
[630] Train acc: 0.8906, Constr acc: 0.9375, CE loss: 0.856, DL2 loss: 5.648
[645] Train acc: 0.9688, Constr acc: 0.7812, CE loss: 0.232, DL2 loss: 9.866
[660] Train acc: 1.0000, Constr acc: 0.9062, CE loss: 0.015, DL2 loss: 9.762
