epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
9, 198, 1.4710, 46.875, 89.062, 
9, 197, 1.2916, 51.562, 93.750, 
9, 196, 1.2800, 51.562, 95.312, 
9, 195, 1.3228, 56.250, 93.750, 
9, 194, 1.1891, 60.938, 95.312, 
9, 193, 1.3123, 50.000, 92.188, 
9, 192, 1.0524, 57.812, 95.312, 
9, 191, 1.3007, 51.562, 92.188, 
9, 190, 1.5150, 43.750, 92.188, 
9, 189, 1.4087, 53.125, 89.062, 
9, 188, 1.2305, 54.688, 96.875, 
9, 187, 1.3061, 60.938, 92.188, 
9, 186, 1.2229, 54.688, 95.312, 
9, 185, 1.3885, 59.375, 89.062, 
9, 184, 1.2604, 56.250, 95.312, 
9, 183, 1.3142, 57.812, 89.062, 
9, 182, 1.1855, 57.812, 96.875, 
9, 181, 1.2682, 54.688, 93.750, 
9, 180, 1.3539, 51.562, 90.625, 
9, 179, 1.2326, 60.938, 95.312, 
9, 178, 1.0892, 54.688, 98.438, 
9, 177, 1.5756, 43.750, 84.375, 
9, 176, 1.2081, 60.938, 92.188, 
9, 175, 1.4637, 54.688, 90.625, 
9, 174, 1.1038, 57.812, 100.000, 
9, 173, 1.3807, 48.438, 95.312, 
9, 172, 1.2434, 54.688, 96.875, 
9, 171, 1.3458, 51.562, 93.750, 
9, 170, 1.3502, 51.562, 93.750, 
9, 169, 1.3357, 57.812, 93.750, 
9, 168, 1.4374, 50.000, 89.062, 
9, 167, 1.3347, 50.000, 92.188, 
9, 166, 1.2778, 56.250, 93.750, 
9, 165, 1.1835, 54.688, 98.438, 
9, 164, 1.3953, 53.125, 90.625, 
9, 163, 1.5310, 51.562, 89.062, 
9, 162, 1.2215, 43.750, 95.312, 
9, 161, 1.0863, 64.062, 100.000, 
9, 160, 1.3042, 53.125, 93.750, 
9, 159, 1.1198, 60.938, 96.875, 
10, 159, 1.2131, 59.375, 95.312, 
10, 158, 1.1929, 64.062, 95.312, 
10, 157, 1.5354, 35.938, 89.062, 
10, 156, 1.4409, 43.750, 93.750, 
10, 155, 1.1702, 64.062, 96.875, 
10, 154, 1.2089, 60.938, 96.875, 
10, 153, 1.3826, 46.875, 93.750, 
10, 152, 1.2089, 56.250, 95.312, 
10, 151, 1.4417, 48.438, 93.750, 
10, 150, 1.1845, 64.062, 95.312, 
10, 149, 1.2821, 50.000, 98.438, 
10, 148, 1.3052, 54.688, 96.875, 
10, 147, 1.6160, 43.750, 90.625, 
