epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.3281, Constr acc: 0.3125, CE loss: 4.252, DL2 loss: 103.909
[30] Train acc: 0.4062, Constr acc: 0.5625, CE loss: 8.237, DL2 loss: 60.150
[45] Train acc: 0.6406, Constr acc: 0.6250, CE loss: 2.128, DL2 loss: 52.889
[60] Train acc: 0.7031, Constr acc: 0.8750, CE loss: 2.183, DL2 loss: 23.337
[75] Train acc: 0.2812, Constr acc: 0.4375, CE loss: 13.304, DL2 loss: 110.331
[90] Train acc: 0.6562, Constr acc: 0.5312, CE loss: 2.776, DL2 loss: 72.856
[105] Train acc: 0.6406, Constr acc: 0.7812, CE loss: 3.035, DL2 loss: 37.115
[120] Train acc: 0.6094, Constr acc: 0.9062, CE loss: 4.058, DL2 loss: 14.865
[135] Train acc: 0.7188, Constr acc: 0.8750, CE loss: 4.329, DL2 loss: 15.987
[150] Train acc: 0.6562, Constr acc: 0.6875, CE loss: 2.859, DL2 loss: 44.600
[165] Train acc: 0.8125, Constr acc: 0.8750, CE loss: 1.503, DL2 loss: 19.078
[180] Train acc: 0.6875, Constr acc: 0.8125, CE loss: 2.090, DL2 loss: 17.210
[195] Train acc: 0.6875, Constr acc: 0.6250, CE loss: 3.382, DL2 loss: 57.947
[210] Train acc: 0.5312, Constr acc: 0.6875, CE loss: 6.020, DL2 loss: 43.472
[225] Train acc: 0.6719, Constr acc: 0.8125, CE loss: 6.193, DL2 loss: 36.537
[240] Train acc: 0.7188, Constr acc: 0.7500, CE loss: 2.009, DL2 loss: 22.749
[255] Train acc: 0.7969, Constr acc: 0.8125, CE loss: 2.282, DL2 loss: 25.907
[270] Train acc: 0.8594, Constr acc: 0.8438, CE loss: 1.130, DL2 loss: 32.865
[285] Train acc: 0.8281, Constr acc: 0.7812, CE loss: 1.775, DL2 loss: 36.951
[300] Train acc: 0.6094, Constr acc: 0.8125, CE loss: 6.405, DL2 loss: 24.836
[315] Train acc: 0.5312, Constr acc: 0.5938, CE loss: 3.368, DL2 loss: 52.162
[330] Train acc: 0.2969, Constr acc: 0.4688, CE loss: 82.590, DL2 loss: 85.677
[345] Train acc: 0.3750, Constr acc: 0.6875, CE loss: 6.839, DL2 loss: 30.018
[360] Train acc: 0.8125, Constr acc: 0.8125, CE loss: 1.027, DL2 loss: 22.534
[375] Train acc: 0.7500, Constr acc: 0.8438, CE loss: 2.393, DL2 loss: 18.242
[390] Train acc: 0.5469, Constr acc: 0.7500, CE loss: 5.496, DL2 loss: 28.081
[405] Train acc: 0.5312, Constr acc: 0.6562, CE loss: 6.602, DL2 loss: 53.059
[420] Train acc: 0.6719, Constr acc: 0.8125, CE loss: 2.301, DL2 loss: 19.453
[435] Train acc: 0.6562, Constr acc: 0.8750, CE loss: 2.971, DL2 loss: 15.553
[450] Train acc: 0.6719, Constr acc: 0.8125, CE loss: 2.567, DL2 loss: 27.254
[465] Train acc: 0.5625, Constr acc: 0.6562, CE loss: 4.460, DL2 loss: 43.620
[480] Train acc: 0.6562, Constr acc: 0.8125, CE loss: 3.914, DL2 loss: 24.414
[495] Train acc: 0.7500, Constr acc: 0.8438, CE loss: 3.020, DL2 loss: 19.874
[510] Train acc: 0.5156, Constr acc: 0.7188, CE loss: 21.611, DL2 loss: 40.743
[525] Train acc: 0.6406, Constr acc: 0.5938, CE loss: 3.092, DL2 loss: 42.289
[540] Train acc: 0.3594, Constr acc: 0.4688, CE loss: 135.596, DL2 loss: 112.781
[555] Train acc: 0.5000, Constr acc: 0.5625, CE loss: 3.849, DL2 loss: 67.437
[570] Train acc: 0.6094, Constr acc: 0.6562, CE loss: 4.940, DL2 loss: 50.901
[585] Train acc: 0.5312, Constr acc: 0.7812, CE loss: 6.595, DL2 loss: 34.557
[600] Train acc: 0.6719, Constr acc: 0.7188, CE loss: 2.063, DL2 loss: 36.633
[615] Train acc: 0.1719, Constr acc: 0.0000, CE loss: 128.168, DL2 loss: 226.967
[630] Train acc: 0.4219, Constr acc: 0.6250, CE loss: 3.999, DL2 loss: 42.992
[645] Train acc: 0.6406, Constr acc: 0.6250, CE loss: 4.884, DL2 loss: 53.148
[660] Train acc: 0.6250, Constr acc: 0.8438, CE loss: 3.865, DL2 loss: 29.868
[675] Train acc: 0.2344, Constr acc: 0.4062, CE loss: 21.179, DL2 loss: 114.437
[690] Train acc: 0.7344, Constr acc: 0.7812, CE loss: 2.417, DL2 loss: 27.758
[705] Train acc: 0.5469, Constr acc: 0.7500, CE loss: 4.110, DL2 loss: 38.812
[720] Train acc: 0.7656, Constr acc: 0.8438, CE loss: 2.742, DL2 loss: 12.187
[735] Train acc: 0.6719, Constr acc: 0.7812, CE loss: 3.230, DL2 loss: 30.383
[750] Train acc: 0.7344, Constr acc: 0.8750, CE loss: 3.626, DL2 loss: 21.247
[765] Train acc: 0.7500, Constr acc: 0.9375, CE loss: 3.805, DL2 loss: 2.649
[780] Train acc: 0.6406, Constr acc: 0.8125, CE loss: 4.587, DL2 loss: 26.510
[795] Train acc: 0.6875, Constr acc: 0.8125, CE loss: 2.802, DL2 loss: 25.210
[810] Train acc: 0.7500, Constr acc: 0.8750, CE loss: 1.988, DL2 loss: 21.489
[825] Train acc: 0.7188, Constr acc: 0.8125, CE loss: 2.064, DL2 loss: 32.973
[840] Train acc: 0.6875, Constr acc: 0.7812, CE loss: 2.456, DL2 loss: 22.468
[855] Train acc: 0.7969, Constr acc: 0.7500, CE loss: 2.152, DL2 loss: 39.658
[870] Train acc: 0.7031, Constr acc: 0.7188, CE loss: 4.960, DL2 loss: 36.144
[885] Train acc: 0.6719, Constr acc: 0.6875, CE loss: 4.216, DL2 loss: 47.485
[900] Train acc: 0.6562, Constr acc: 0.7812, CE loss: 4.324, DL2 loss: 29.984
[915] Train acc: 0.6094, Constr acc: 0.9062, CE loss: 4.566, DL2 loss: 15.618
[930] Train acc: 0.7812, Constr acc: 0.8750, CE loss: 3.214, DL2 loss: 18.140
[0] Train acc: 0.7969, Constr acc: 0.8125, CE loss: 1.815, DL2 loss: 26.515
[15] Train acc: 0.7344, Constr acc: 0.8438, CE loss: 2.487, DL2 loss: 22.653
[30] Train acc: 0.7031, Constr acc: 0.8438, CE loss: 2.747, DL2 loss: 10.382
[45] Train acc: 0.4531, Constr acc: 0.6562, CE loss: 7.508, DL2 loss: 56.514
[60] Train acc: 0.6719, Constr acc: 0.7812, CE loss: 2.578, DL2 loss: 30.571
[75] Train acc: 0.7812, Constr acc: 0.6875, CE loss: 5.251, DL2 loss: 52.261
[90] Train acc: 0.6875, Constr acc: 0.7812, CE loss: 2.777, DL2 loss: 27.396
[105] Train acc: 0.6875, Constr acc: 0.8750, CE loss: 4.741, DL2 loss: 19.041
[120] Train acc: 0.6875, Constr acc: 0.8750, CE loss: 9.678, DL2 loss: 26.628
[135] Train acc: 0.7812, Constr acc: 0.7812, CE loss: 2.540, DL2 loss: 26.846
[150] Train acc: 0.7500, Constr acc: 0.8438, CE loss: 1.838, DL2 loss: 27.790
[165] Train acc: 0.8125, Constr acc: 0.8438, CE loss: 1.480, DL2 loss: 22.738
[180] Train acc: 0.8125, Constr acc: 0.8125, CE loss: 1.585, DL2 loss: 41.721
[195] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 1.923, DL2 loss: 22.334
[210] Train acc: 0.6875, Constr acc: 0.6875, CE loss: 2.982, DL2 loss: 37.195
[225] Train acc: 0.8125, Constr acc: 0.8750, CE loss: 1.420, DL2 loss: 20.598
[240] Train acc: 0.7344, Constr acc: 0.9062, CE loss: 3.593, DL2 loss: 14.188
[255] Train acc: 0.5781, Constr acc: 0.6562, CE loss: 5.589, DL2 loss: 55.201
[270] Train acc: 0.6875, Constr acc: 0.9375, CE loss: 3.359, DL2 loss: 12.488
[285] Train acc: 0.6094, Constr acc: 0.7500, CE loss: 3.920, DL2 loss: 16.791
[300] Train acc: 0.7500, Constr acc: 0.8750, CE loss: 2.207, DL2 loss: 19.651
[315] Train acc: 0.6562, Constr acc: 0.8438, CE loss: 2.880, DL2 loss: 19.184
[330] Train acc: 0.7031, Constr acc: 0.6562, CE loss: 4.817, DL2 loss: 38.584
[345] Train acc: 0.7031, Constr acc: 0.7500, CE loss: 2.801, DL2 loss: 40.681
[360] Train acc: 0.8125, Constr acc: 0.8125, CE loss: 2.070, DL2 loss: 32.520
[375] Train acc: 0.4062, Constr acc: 0.7812, CE loss: 27.707, DL2 loss: 38.035
[390] Train acc: 0.5625, Constr acc: 0.8438, CE loss: 5.008, DL2 loss: 16.888
[405] Train acc: 0.6875, Constr acc: 0.7500, CE loss: 7.792, DL2 loss: 52.214
[420] Train acc: 0.4844, Constr acc: 0.7500, CE loss: 12.975, DL2 loss: 48.914
[435] Train acc: 0.6094, Constr acc: 0.7500, CE loss: 2.801, DL2 loss: 28.920
[450] Train acc: 0.6562, Constr acc: 0.7812, CE loss: 4.296, DL2 loss: 22.108
