epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
[15] Train acc: 0.5938, Constr acc: 0.7500, CE loss: 3.465, DL2 loss: 12.878
[30] Train acc: 0.5781, Constr acc: 0.8125, CE loss: 1.894, DL2 loss: 6.437
[45] Train acc: 0.6406, Constr acc: 0.7500, CE loss: 2.100, DL2 loss: 13.098
[60] Train acc: 0.3594, Constr acc: 0.7812, CE loss: 7.097, DL2 loss: 13.853
[75] Train acc: 0.6094, Constr acc: 0.8125, CE loss: 3.210, DL2 loss: 10.395
[90] Train acc: 0.5469, Constr acc: 0.8750, CE loss: 3.338, DL2 loss: 4.026
[105] Train acc: 0.6406, Constr acc: 0.7812, CE loss: 1.753, DL2 loss: 7.589
[120] Train acc: 0.5781, Constr acc: 0.8750, CE loss: 1.824, DL2 loss: 3.601
[135] Train acc: 0.7656, Constr acc: 0.8438, CE loss: 1.286, DL2 loss: 4.773
[150] Train acc: 0.4688, Constr acc: 0.5625, CE loss: 3.300, DL2 loss: 20.556
[165] Train acc: 0.7031, Constr acc: 0.9062, CE loss: 1.254, DL2 loss: 3.313
[180] Train acc: 0.7812, Constr acc: 0.8438, CE loss: 2.588, DL2 loss: 7.217
[195] Train acc: 0.5781, Constr acc: 0.7500, CE loss: 1.980, DL2 loss: 15.322
[210] Train acc: 0.7188, Constr acc: 0.7188, CE loss: 1.280, DL2 loss: 12.922
[225] Train acc: 0.7656, Constr acc: 0.7812, CE loss: 1.743, DL2 loss: 10.079
[240] Train acc: 0.7188, Constr acc: 0.8750, CE loss: 1.760, DL2 loss: 5.802
[255] Train acc: 0.7812, Constr acc: 0.8750, CE loss: 1.451, DL2 loss: 4.673
[270] Train acc: 0.7500, Constr acc: 0.8438, CE loss: 0.818, DL2 loss: 7.992
[285] Train acc: 0.7656, Constr acc: 0.7500, CE loss: 0.920, DL2 loss: 10.184
[300] Train acc: 0.8125, Constr acc: 0.8125, CE loss: 1.286, DL2 loss: 6.278
[315] Train acc: 0.7500, Constr acc: 0.7812, CE loss: 0.881, DL2 loss: 7.756
[330] Train acc: 0.7656, Constr acc: 0.7500, CE loss: 1.417, DL2 loss: 5.517
[345] Train acc: 0.5156, Constr acc: 0.9062, CE loss: 3.351, DL2 loss: 4.258
[360] Train acc: 0.6719, Constr acc: 0.9375, CE loss: 1.744, DL2 loss: 3.682
[375] Train acc: 0.6250, Constr acc: 0.9062, CE loss: 1.793, DL2 loss: 5.495
[390] Train acc: 0.7031, Constr acc: 0.7812, CE loss: 1.920, DL2 loss: 8.696
[405] Train acc: 0.8281, Constr acc: 0.8125, CE loss: 0.688, DL2 loss: 7.875
[420] Train acc: 0.5625, Constr acc: 0.8750, CE loss: 2.412, DL2 loss: 5.013
[435] Train acc: 0.8125, Constr acc: 0.9375, CE loss: 0.708, DL2 loss: 1.593
[450] Train acc: 0.8594, Constr acc: 0.7812, CE loss: 0.431, DL2 loss: 8.553
[465] Train acc: 0.9219, Constr acc: 0.8438, CE loss: 0.344, DL2 loss: 9.264
[480] Train acc: 0.7969, Constr acc: 0.8750, CE loss: 0.924, DL2 loss: 7.867
[495] Train acc: 0.8438, Constr acc: 0.9688, CE loss: 0.708, DL2 loss: 1.556
[510] Train acc: 0.7812, Constr acc: 0.7812, CE loss: 0.841, DL2 loss: 8.734
[525] Train acc: 0.7969, Constr acc: 0.8438, CE loss: 1.196, DL2 loss: 8.470
[540] Train acc: 0.7031, Constr acc: 0.8438, CE loss: 1.845, DL2 loss: 7.293
[555] Train acc: 0.8281, Constr acc: 0.8125, CE loss: 0.982, DL2 loss: 5.921
[570] Train acc: 0.7969, Constr acc: 0.9375, CE loss: 1.278, DL2 loss: 2.952
[585] Train acc: 0.8750, Constr acc: 0.9375, CE loss: 0.542, DL2 loss: 2.452
[600] Train acc: 0.8906, Constr acc: 0.8125, CE loss: 0.166, DL2 loss: 8.829
[615] Train acc: 0.8281, Constr acc: 0.8125, CE loss: 0.975, DL2 loss: 7.712
[630] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 1.182, DL2 loss: 7.926
[645] Train acc: 0.8438, Constr acc: 0.7500, CE loss: 0.888, DL2 loss: 11.628
[660] Train acc: 0.6562, Constr acc: 0.9062, CE loss: 2.238, DL2 loss: 7.391
[675] Train acc: 0.9062, Constr acc: 0.6875, CE loss: 0.250, DL2 loss: 14.115
[690] Train acc: 0.9219, Constr acc: 0.8125, CE loss: 0.331, DL2 loss: 9.639
[705] Train acc: 0.9062, Constr acc: 0.8750, CE loss: 0.258, DL2 loss: 6.223
[720] Train acc: 0.9062, Constr acc: 0.9688, CE loss: 0.426, DL2 loss: 1.515
[735] Train acc: 0.8438, Constr acc: 0.9062, CE loss: 0.602, DL2 loss: 5.530
[750] Train acc: 0.9062, Constr acc: 0.9062, CE loss: 0.340, DL2 loss: 4.486
[765] Train acc: 0.8906, Constr acc: 0.9375, CE loss: 0.306, DL2 loss: 1.991
[780] Train acc: 0.8594, Constr acc: 0.9688, CE loss: 1.057, DL2 loss: 1.797
[795] Train acc: 0.7344, Constr acc: 0.8438, CE loss: 1.707, DL2 loss: 5.867
[810] Train acc: 0.8438, Constr acc: 0.8750, CE loss: 0.909, DL2 loss: 5.469
[825] Train acc: 0.8125, Constr acc: 0.8438, CE loss: 0.854, DL2 loss: 6.597
[840] Train acc: 0.8750, Constr acc: 0.9375, CE loss: 0.502, DL2 loss: 3.369
[855] Train acc: 0.8750, Constr acc: 0.8438, CE loss: 0.582, DL2 loss: 10.698
[870] Train acc: 0.7344, Constr acc: 0.8438, CE loss: 1.770, DL2 loss: 3.242
[885] Train acc: 0.8438, Constr acc: 0.7812, CE loss: 1.026, DL2 loss: 14.146
[900] Train acc: 0.7344, Constr acc: 0.6875, CE loss: 1.351, DL2 loss: 10.895
[915] Train acc: 0.8594, Constr acc: 0.8438, CE loss: 0.521, DL2 loss: 8.121
[930] Train acc: 0.7969, Constr acc: 0.8125, CE loss: 1.559, DL2 loss: 10.447
[0] Train acc: 0.8594, Constr acc: 0.8750, CE loss: 1.058, DL2 loss: 7.336
[15] Train acc: 0.8750, Constr acc: 0.9688, CE loss: 0.543, DL2 loss: 2.743
[30] Train acc: 0.7969, Constr acc: 0.7812, CE loss: 1.386, DL2 loss: 8.862
[45] Train acc: 0.7500, Constr acc: 0.7500, CE loss: 1.213, DL2 loss: 9.913
[60] Train acc: 0.8281, Constr acc: 0.7812, CE loss: 1.095, DL2 loss: 7.509
[75] Train acc: 0.8281, Constr acc: 0.7812, CE loss: 1.000, DL2 loss: 13.123
