Files already downloaded and verified
Ignoring network_output argument, using prob and logprob to obtain KL divergence
CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64
validate.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_0_100.json --constraint=RobustnessDandR(eps1=7.8, eps2=2.9) --dl2-weight=0.0 --batch-size=64 --name=CIFAR100_res_valid --checkpoint_folder=CIFAR100_res --log_file=process_output/textfiles/log_CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64.txt --starting_line=600
print_iter, train_iter, train_loss, train_dl2_loss, train_top1, train_top5,  test_loss,  test_acc, inf_time
717, 3872276442884669499884460572000, 0.0327, 0.0000, 100.000, 100.000, 1.2096, 74.200, 
719, 3872276442884669499884460572200, 0.0172, 0.0000, 100.000, 100.000, 1.2464, 74.120, 
721, 3872276442884669499884460572400, 0.0242, 0.0000, 100.000, 100.000, 1.2205, 73.730, 
723, 3872276442884669499884460572600, 0.0342, 10.8918, 100.000, 100.000, 1.1983, 74.440, 
725, 7744552885769338999768921144700, 0.0173, 0.0000, 100.000, 100.000, 1.2277, 74.060, 
727, 7744552885769338999768921144900, 0.0354, 0.0000, 98.438, 100.000, 1.2597, 73.590, 
729, 7744552885769338999768921145100, 0.0286, 0.0000, 100.000, 100.000, 1.2067, 74.320, 
731, 7744552885769338999768921145300, 0.1350, 8.3708, 95.312, 100.000, 1.2292, 73.880, 
733, 15489105771538677999537842290100, 0.0059, 11.3237, 100.000, 100.000, 1.2597, 73.480, 
735, 15489105771538677999537842290300, 0.0314, 0.0000, 100.000, 100.000, 1.2317, 73.370, 
737, 15489105771538677999537842290500, 0.0851, 0.0000, 96.875, 100.000, 1.2232, 73.790, 
739, 30978211543077355999075684580600, 0.0348, 0.0000, 100.000, 100.000, 1.3037, 72.770, 
741, 30978211543077355999075684580800, 0.0711, 0.0000, 96.875, 100.000, 1.2330, 73.600, 
743, 30978211543077355999075684581000, 0.0855, 0.0000, 98.438, 100.000, 1.2519, 73.760, 
745, 30978211543077355999075684581200, 0.1508, 0.0000, 95.312, 100.000, 1.2804, 73.210, 
747, 61956423086154711998151369162000, 0.0387, 0.0000, 100.000, 100.000, 1.2313, 73.750, 
749, 61956423086154711998151369162200, 0.0493, 0.0000, 98.438, 100.000, 1.2384, 73.730, 
751, 61956423086154711998151369162400, 0.0707, 9.3480, 98.438, 100.000, 1.2766, 73.250, 
753, 61956423086154711998151369162600, 0.0212, 0.0000, 100.000, 100.000, 1.2206, 74.320, 
755, 123912846172309423996302738324800, 0.0585, 0.0000, 98.438, 100.000, 1.2462, 73.390, 
757, 123912846172309423996302738325000, 0.0498, 13.6296, 98.438, 100.000, 1.2193, 73.450, 
759, 123912846172309423996302738325200, 0.0191, 0.0000, 100.000, 100.000, 1.2949, 72.850, 
761, 123912846172309423996302738325400, 0.1441, 0.0000, 95.312, 100.000, 1.2732, 72.870, 
763, 247825692344618847992605476650300, 0.0500, 0.0000, 98.438, 100.000, 1.2965, 72.830, 
765, 247825692344618847992605476650500, 0.0273, 0.0000, 100.000, 100.000, 1.2249, 74.180, 
767, 247825692344618847992605476650700, 0.0888, 0.0000, 98.438, 100.000, 1.2521, 73.060, 
769, 247825692344618847992605476650900, 0.0761, 0.0000, 96.875, 100.000, 1.2667, 72.880, 
771, 495651384689237695985210953301300, 0.0538, 0.0000, 98.438, 100.000, 1.2291, 73.440, 
773, 495651384689237695985210953301500, 0.0557, 13.7896, 98.438, 100.000, 1.2598, 72.870, 
775, 495651384689237695985210953301700, 0.0514, 7.3302, 98.438, 100.000, 1.2583, 73.110, 
777, 495651384689237695985210953301900, 0.1184, 0.0000, 96.875, 100.000, 1.2607, 73.210, 
779, 991302769378475391970421906603300, 0.0621, 0.0000, 96.875, 100.000, 1.1863, 74.220, 
781, 991302769378475391970421906603500, 0.0532, 0.0000, 98.438, 100.000, 1.2572, 72.970, 
783, 991302769378475391970421906603700, 0.1951, 0.0000, 93.750, 100.000, 1.2529, 72.810, 
785, 991302769378475391970421906603900, 0.0903, 0.0000, 95.312, 100.000, 1.2519, 73.270, 
787, 1982605538756950783940843813207300, 0.0623, 0.0000, 98.438, 100.000, 1.2547, 72.900, 
789, 1982605538756950783940843813207500, 0.0355, 0.0000, 98.438, 100.000, 1.2740, 72.510, 
791, 1982605538756950783940843813207700, 0.0382, 19.7476, 100.000, 100.000, 1.2646, 73.140, 
793, 1982605538756950783940843813207900, 0.0981, 0.0000, 96.875, 100.000, 1.3023, 72.470, 
795, 3965211077513901567881687626415400, 0.0604, 0.0000, 98.438, 100.000, 1.2435, 73.070, 
797, 3965211077513901567881687626415600, 0.0463, 0.0000, 96.875, 100.000, 1.2479, 73.260, 
799, 3965211077513901567881687626415800, 0.0668, 0.0000, 100.000, 100.000, 1.2699, 72.570, 
801, 3965211077513901567881687626416000, 0.0267, 0.0000, 100.000, 100.000, 1.2776, 72.680, 
803, 7930422155027803135763375252831500, 0.0601, 10.9522, 98.438, 100.000, 1.2723, 72.330, 
805, 7930422155027803135763375252831700, 0.0957, 0.0000, 98.438, 98.438, 1.3321, 72.100, 
807, 7930422155027803135763375252831900, 0.0622, 0.0000, 98.438, 100.000, 1.2015, 73.790, 
809, 7930422155027803135763375252832100, 0.0430, 0.0000, 100.000, 100.000, 1.2683, 73.240, 
811, 15860844310055606271526750505663800, 0.0241, 0.0000, 100.000, 100.000, 1.2722, 73.290, 
813, 15860844310055606271526750505664000, 0.1325, 0.0000, 96.875, 100.000, 1.2412, 73.120, 
815, 15860844310055606271526750505664200, 0.0477, 0.0000, 98.438, 100.000, 1.2690, 72.790, 
817, 15860844310055606271526750505664400, 0.0260, 13.8171, 100.000, 100.000, 1.3176, 71.980, 
819, 31721688620111212543053501011328300, 0.0425, 3.2973, 98.438, 100.000, 1.2917, 72.160, 
821, 31721688620111212543053501011328500, 0.0229, 0.0000, 100.000, 100.000, 1.2898, 72.470, 
823, 31721688620111212543053501011328700, 0.0999, 2.2605, 95.312, 100.000, 1.2913, 72.280, 
825, 31721688620111212543053501011328900, 0.0257, 0.0000, 100.000, 100.000, 1.2855, 72.080, 
827, 63443377240222425086107002022657300, 0.0572, 0.0000, 98.438, 100.000, 1.2907, 72.250, 
829, 63443377240222425086107002022657500, 0.0072, 0.0000, 100.000, 100.000, 1.2510, 73.200, 
831, 63443377240222425086107002022657700, 0.0545, 0.0000, 98.438, 100.000, 1.2839, 72.630, 
833, 63443377240222425086107002022657900, 0.1414, 0.0000, 93.750, 100.000, 1.3164, 71.140, 
835, 126886754480444850172214004045315400, 0.0655, 0.0000, 98.438, 100.000, 1.2416, 72.760, 
837, 126886754480444850172214004045315600, 0.0822, 7.8759, 96.875, 100.000, 1.2534, 72.350, 
839, 126886754480444850172214004045315800, 0.0121, 0.0000, 100.000, 100.000, 1.2965, 72.410, 
841, 126886754480444850172214004045316000, 0.0871, 0.0000, 96.875, 100.000, 1.2605, 72.080, 
843, 253773508960889700344428008090631600, 0.0429, 0.0000, 100.000, 100.000, 1.2884, 72.310, 
845, 253773508960889700344428008090631800, 0.0697, 0.0000, 96.875, 100.000, 1.2809, 72.280, 
847, 253773508960889700344428008090632000, 0.0874, 0.0000, 96.875, 100.000, 1.3014, 71.860, 
849, 507547017921779400688856016181263700, 0.0431, 0.0000, 98.438, 100.000, 1.2841, 72.750, 
851, 507547017921779400688856016181263900, 0.0977, 0.0000, 95.312, 100.000, 1.3478, 71.250, 
853, 507547017921779400688856016181264100, 0.0656, 0.0000, 98.438, 100.000, 1.2832, 72.210, 
855, 507547017921779400688856016181264300, 0.1430, 0.0000, 93.750, 100.000, 1.3275, 71.910, 
857, 1015094035843558801377712032362528100, 0.0884, 0.0000, 98.438, 100.000, 1.2758, 72.030, 
859, 1015094035843558801377712032362528300, 0.0225, 0.0000, 100.000, 100.000, 1.2656, 71.880, 
861, 1015094035843558801377712032362528500, 0.0617, 0.0000, 96.875, 100.000, 1.2774, 72.560, 
863, 1015094035843558801377712032362528700, 0.0507, 0.0000, 98.438, 100.000, 1.2533, 72.780, 
865, 2030188071687117602755424064725056900, 0.0558, 0.0000, 98.438, 100.000, 1.2877, 72.710, 
867, 2030188071687117602755424064725057100, 0.0349, 0.0000, 100.000, 100.000, 1.2697, 71.840, 
869, 2030188071687117602755424064725057300, 0.1524, 0.0000, 95.312, 100.000, 1.3060, 71.820, 
871, 2030188071687117602755424064725057500, 0.1032, 10.3190, 95.312, 100.000, 1.3338, 71.550, 
873, 4060376143374235205510848129450114400, 0.1412, 0.0000, 95.312, 100.000, 1.2915, 71.910, 
875, 4060376143374235205510848129450114600, 0.0492, 0.0000, 96.875, 100.000, 1.3142, 71.490, 
877, 4060376143374235205510848129450114800, 0.1145, 0.0000, 96.875, 100.000, 1.3176, 71.880, 
879, 4060376143374235205510848129450115000, 0.1049, 16.3681, 95.312, 100.000, 1.2932, 72.070, 
881, 8120752286748470411021696258900229500, 0.0174, 0.0000, 100.000, 100.000, 1.2831, 72.330, 
883, 8120752286748470411021696258900229700, 0.0780, 0.0000, 98.438, 100.000, 1.2748, 72.350, 
885, 8120752286748470411021696258900229900, 0.0444, 0.0000, 98.438, 100.000, 1.2877, 72.200, 
887, 8120752286748470411021696258900230100, 0.0930, 12.0159, 98.438, 100.000, 1.2901, 72.510, 
889, 16241504573496940822043392517800459700, 0.0749, 0.0000, 96.875, 100.000, 1.3297, 72.310, 
891, 16241504573496940822043392517800459900, 0.0290, 0.0000, 100.000, 100.000, 1.2942, 72.480, 
893, 16241504573496940822043392517800460100, 0.0318, 0.0000, 100.000, 100.000, 1.3096, 72.470, 
895, 32483009146993881644086785035600919800, 0.0597, 0.0000, 100.000, 100.000, 1.3130, 72.410, 
897, 32483009146993881644086785035600920000, 0.0365, 0.0000, 100.000, 100.000, 1.4565, 70.770, 
899, 32483009146993881644086785035600920200, 0.0323, 0.0000, 100.000, 100.000, 1.2780, 72.260, 
901, 32483009146993881644086785035600920400, 0.0899, 0.0000, 95.312, 100.000, 1.2998, 71.750, 
903, 64966018293987763288173570071201840400, 0.0466, 0.0000, 98.438, 100.000, 1.2970, 72.040, 
905, 64966018293987763288173570071201840600, 0.0282, 0.0000, 100.000, 100.000, 1.2460, 73.620, 
907, 64966018293987763288173570071201840800, 0.0607, 0.0000, 98.438, 100.000, 1.2490, 73.340, 
909, 64966018293987763288173570071201841000, 0.0782, 0.0000, 98.438, 100.000, 1.3598, 71.400, 
911, 129932036587975526576347140142403681600, 0.0306, 0.0000, 98.438, 100.000, 1.3110, 72.410, 
913, 129932036587975526576347140142403681800, 0.0302, 0.0000, 100.000, 100.000, 1.3409, 71.670, 
